post_id,author,title,body,image,image description
e9l10g,THE_REAL_ODB,blackpill; guide; navigating; life; know; scientific; would; like; brutally; honest; guide; life; manage; blackpilled,,-1,
eaq16u,SophisticatedBean,woman; espouse; feminist; belief; likely; fantasy; forced; woman; shulman; horne,,-1,
eah6hg,VisualHunt,masculine; personality; role; height; predicted; attractiveness; result; indicated; masculine; ratio; right; hand; related; attractiveness; relationship; occurred; controlling; body; size; personality; role,,-1,
eafkfu,Ceumber12yeah,cucks; take; white; pill; bde; dick; energy,,42,phrase; bde; dick; energy; national; attention; hard; drug; upholding; supporting; dick; dick; energy; gender; neutral; certainly; communist
e6s50f,CuckedIndianAmerican,sexual; morality; important; ever; thought,,-1,
e6n7j4,SophisticatedBean,impact; male; female; facial; attractiveness; occupational; prestige; facial; attractiveness; matter; impact; constant; employment; history; sala,,-1,
e6n6mc,SophisticatedBean,large; review; result; impact; sexuality; find; positive; healthy; effect; result; pleasurable; fulfilling; sexual; experience; anderson,,-1,
e6f12h,eduardkoopman,role; facial; hair; woman; perception; attractiveness; health; masculinity; parenting; abilitiesing,,-1,
e6f0wa,eduardkoopman,redirecting,,-1,
e62t8z,Zealousideals,woman; living; socio; economically; deprived; area; higher; risk; major; depressive; disorder,,-1,
e62rvf,Fatetruth,woman; living; socio; economically; deprived; area; higher; risk; major; depressive; disorder,,-1,
edo4sb,eduardkoopman,flirting; work; stress; relieving; benefit; positively; experienced; social; sexual; behavior; workplace,,-1,
eczik9,SophisticatedBean,study; zealand; woman; likely; initiate; domestic; violence; rate; violence; initiation; woman; woman; committed; severe; physical; violence; magdol,,-1,
e4i5kb,Njere,unsolicited; sexual; advance; considered; disturbing; discomforting; perpetrated; unattractive; opposite; colleague; perpetrated; attractive; opposite; colleague,,-1,
egpfeq,Magehunter_Skassi,hormonal; contraceptive; suppress; oxytocin; induced; brain; reward; response; partner; face,,-1,
ehc5ti,exincelmod,first; impression; making; mind; exposure; face; turdov; willis,,-1,
efh138,Mayocide_Mozart,bored; woman; tend; feel; stultified; bored; long; term; monogamous; relationship,,-1,
efdtvr,shivaay69,mating; market; theory; math; night; stand; long; term; relationship,,-1,
ebfl67,SpicyQualityMemes,tracking; study; suggests; concerned; woman; upper; body,,-1,
